,Sr No.,"Date of
Encashment",Name of the Political Party,"Account no. of
Political Party",Prefix,"Bond
Number",Denominations,"Pay Branch
Code",Pay Teller
0,1,2019-04-12,ALL INDIA ANNA DRAVIDA MUNNETRA KAZHAGAM,*******5199,OC,775,10000000,800,2770121
1,2,2019-04-12,ALL INDIA ANNA DRAVIDA MUNNETRA KAZHAGAM,*******5199,OC,3975,10000000,800,2770121
2,3,2019-04-12,ALL INDIA ANNA DRAVIDA MUNNETRA KAZHAGAM,*******5199,OC,3967,10000000,800,2770121
3,4,2019-04-12,ALL INDIA ANNA DRAVIDA MUNNETRA KAZHAGAM,*******5199,TL,10418,1000000,800,2770121
4,5,2019-04-12,ALL INDIA ANNA DRAVIDA MUNNETRA KAZHAGAM,*******5199,TL,126,1000000,800,2770121
5,6,2019-04-12,ALL INDIA ANNA DRAVIDA MUNNETRA KAZHAGAM,*******5199,TL,116,1000000,800,2770121
6,7,2019-04-12,ALL INDIA ANNA DRAVIDA MUNNETRA KAZHAGAM,*******5199,TL,10466,1000000,800,2770121
7,8,2019-04-12,ALL INDIA ANNA DRAVIDA MUNNETRA KAZHAGAM,*******5199,TL,122,1000000,800,2770121
8,9,2019-04-12,ALL INDIA ANNA DRAVIDA MUNNETRA KAZHAGAM,*******5199,TL,158,1000000,800,2770121
9,10,2019-04-12,ALL INDIA ANNA DRAVIDA MUNNETRA KAZHAGAM,*******5199,TL,108,1000000,800,2770121
10,11,2019-04-12,ALL INDIA ANNA DRAVIDA MUNNETRA KAZHAGAM,*******5199,TL,10446,1000000,800,2770121
11,12,2019-04-12,ALL INDIA ANNA DRAVIDA MUNNETRA KAZHAGAM,*******5199,TL,10434,1000000,800,2770121
12,13,2019-04-12,ALL INDIA ANNA DRAVIDA MUNNETRA KAZHAGAM,*******5199,TL,162,1000000,800,2770121
13,14,2019-04-12,ALL INDIA ANNA DRAVIDA MUNNETRA KAZHAGAM,*******5199,TL,128,1000000,800,2770121
14,15,2019-04-12,ALL INDIA ANNA DRAVIDA MUNNETRA KAZHAGAM,*******5199,TL,113,1000000,800,2770121
15,16,2019-04-12,ALL INDIA ANNA DRAVIDA MUNNETRA KAZHAGAM,*******5199,TL,10423,1000000,800,2770121
16,17,2019-04-12,ALL INDIA ANNA DRAVIDA MUNNETRA KAZHAGAM,*******5199,TL,110,1000000,800,2770121
17,18,2019-04-12,ALL INDIA ANNA DRAVIDA MUNNETRA KAZHAGAM,*******5199,TL,131,1000000,800,2770121
18,19,2019-04-12,ALL INDIA ANNA DRAVIDA MUNNETRA KAZHAGAM,*******5199,TL,164,1000000,800,2770121
19,20,2019-04-12,ALL INDIA ANNA DRAVIDA MUNNETRA KAZHAGAM,*******5199,TL,118,1000000,800,2770121
20,21,2019-04-12,ALL INDIA ANNA DRAVIDA MUNNETRA KAZHAGAM,*******5199,TL,10449,1000000,800,2770121
21,22,2019-04-12,ALL INDIA ANNA DRAVIDA MUNNETRA KAZHAGAM,*******5199,TL,10417,1000000,800,2770121
22,23,2019-04-12,ALL INDIA ANNA DRAVIDA MUNNETRA KAZHAGAM,*******5199,TL,10426,1000000,800,2770121
23,24,2019-04-12,ALL INDIA ANNA DRAVIDA MUNNETRA KAZHAGAM,*******5199,TL,10420,1000000,800,2770121
24,25,2019-04-12,ALL INDIA ANNA DRAVIDA MUNNETRA KAZHAGAM,*******5199,TL,10443,1000000,800,2770121
25,26,2019-04-12,ALL INDIA ANNA DRAVIDA MUNNETRA KAZHAGAM,*******5199,TL,10452,1000000,800,2770121
26,27,2019-04-12,ALL INDIA ANNA DRAVIDA MUNNETRA KAZHAGAM,*******5199,TL,160,1000000,800,2770121
27,28,2019-04-12,ALL INDIA ANNA DRAVIDA MUNNETRA KAZHAGAM,*******5199,TL,10408,1000000,800,2770121
28,29,2019-04-12,ALL INDIA ANNA DRAVIDA MUNNETRA KAZHAGAM,*******5199,TL,120,1000000,800,2770121
29,30,2019-04-12,ALL INDIA ANNA DRAVIDA MUNNETRA KAZHAGAM,*******5199,TL,10464,1000000,800,2770121
30,31,2019-04-12,ALL INDIA ANNA DRAVIDA MUNNETRA KAZHAGAM,*******5199,TL,124,1000000,800,2770121
31,32,2019-04-12,ALL INDIA ANNA DRAVIDA MUNNETRA KAZHAGAM,*******5199,TL,10440,1000000,800,2770121
32,33,2019-04-12,ALL INDIA ANNA DRAVIDA MUNNETRA KAZHAGAM,*******5199,TL,10469,1000000,800,2770121
33,34,2019-04-12,BHARAT RASHTRA SAMITHI,*******7477,OC,6646,10000000,847,3367975
34,35,2019-04-12,BHARAT RASHTRA SAMITHI,*******7477,OC,6644,10000000,847,3367975
35,36,2019-04-12,BHARAT RASHTRA SAMITHI,*******7477,OC,5470,10000000,847,3367975
36,37,2019-04-12,BHARAT RASHTRA SAMITHI,*******7477,OC,5455,10000000,847,3367975
0,38,2019-04-12,BHARAT RASHTRA SAMITHI,*******7477,OC,5467,10000000,847,3367975
1,39,2019-04-12,BHARAT RASHTRA SAMITHI,*******7477,OC,5460,10000000,847,3367975
2,40,2019-04-12,BHARAT RASHTRA SAMITHI,*******7477,OC,5463,10000000,847,3367975
3,41,2019-04-12,BHARAT RASHTRA SAMITHI,*******7477,OC,5451,10000000,847,3367975
4,42,2019-04-12,BHARAT RASHTRA SAMITHI,*******7477,OC,5458,10000000,847,3367975
5,43,2019-04-12,BHARAT RASHTRA SAMITHI,*******7477,OC,5454,10000000,847,3367975
6,44,2019-04-12,BHARAT RASHTRA SAMITHI,*******7477,OC,5474,10000000,847,3367975
7,45,2019-04-12,BHARAT RASHTRA SAMITHI,*******7477,OC,5459,10000000,847,3367975
8,46,2019-04-12,BHARAT RASHTRA SAMITHI,*******7477,OC,5475,10000000,847,3367975
9,47,2019-04-12,BHARAT RASHTRA SAMITHI,*******7477,OC,5464,10000000,847,3367975
10,48,2019-04-12,BHARAT RASHTRA SAMITHI,*******7477,OC,5453,10000000,847,3367975
11,49,2019-04-12,BHARAT RASHTRA SAMITHI,*******7477,OC,5472,10000000,847,3367975
12,50,2019-04-12,BHARAT RASHTRA SAMITHI,*******7477,OC,5471,10000000,847,3367975
13,51,2019-04-12,BHARAT RASHTRA SAMITHI,*******7477,OC,5468,10000000,847,3367975
14,52,2019-04-12,BHARAT RASHTRA SAMITHI,*******7477,OC,5450,10000000,847,3367975
15,53,2019-04-12,BHARAT RASHTRA SAMITHI,*******7477,OC,5462,10000000,847,3367975
16,54,2019-04-12,BHARAT RASHTRA SAMITHI,*******7477,OC,5457,10000000,847,3367975
17,55,2019-04-12,BHARAT RASHTRA SAMITHI,*******7477,OC,5466,10000000,847,3367975
18,56,2019-04-12,BHARAT RASHTRA SAMITHI,*******7477,TL,10876,1000000,847,3367975
19,57,2019-04-12,BHARAT RASHTRA SAMITHI,*******7477,TL,10877,1000000,847,3367975
20,58,2019-04-12,BHARAT RASHTRA SAMITHI,*******7477,TL,10885,1000000,847,3367975
21,59,2019-04-12,BHARAT RASHTRA SAMITHI,*******7477,TL,10856,1000000,847,3367975
22,60,2019-04-12,BHARAT RASHTRA SAMITHI,*******7477,TL,10870,1000000,847,3367975
23,61,2019-04-12,BHARATIYA JANATA PARTY,*******8244,OC,4274,10000000,691,3627829
24,62,2019-04-12,BHARATIYA JANATA PARTY,*******8244,OC,4276,10000000,691,3627829
25,63,2019-04-12,BHARATIYA JANATA PARTY,*******8244,OC,5827,10000000,691,3627829
26,64,2019-04-12,BHARATIYA JANATA PARTY,*******8244,OC,5847,10000000,691,3627829
27,65,2019-04-12,BHARATIYA JANATA PARTY,*******8244,OC,4303,10000000,691,3627829
28,66,2019-04-12,BHARATIYA JANATA PARTY,*******8244,OC,4301,10000000,691,3627829
29,67,2019-04-12,BHARATIYA JANATA PARTY,*******8244,OC,5831,10000000,691,3627829
30,68,2019-04-12,BHARATIYA JANATA PARTY,*******8244,OC,4321,10000000,691,3627829
31,69,2019-04-12,BHARATIYA JANATA PARTY,*******8244,OC,5861,10000000,691,3627829
32,70,2019-04-12,BHARATIYA JANATA PARTY,*******8244,OC,4325,10000000,691,3627829
33,71,2019-04-12,BHARATIYA JANATA PARTY,*******8244,OC,5843,10000000,691,3627829
34,72,2019-04-12,BHARATIYA JANATA PARTY,*******8244,OC,5837,10000000,691,3627829
35,73,2019-04-12,BHARATIYA JANATA PARTY,*******8244,OC,5817,10000000,691,3627829
36,74,2019-04-12,BHARATIYA JANATA PARTY,*******8244,OC,4319,10000000,691,3627829
0,75,2019-04-12,BHARATIYA JANATA PARTY,*******8244,OC,4293,10000000,691,3627829
1,76,2019-04-12,BHARATIYA JANATA PARTY,*******8244,OC,4305,10000000,691,3627829
2,77,2019-04-12,BHARATIYA JANATA PARTY,*******8244,OC,5801,10000000,691,3627829
3,78,2019-04-12,BHARATIYA JANATA PARTY,*******8244,OC,5825,10000000,691,3627829
4,79,2019-04-12,BHARATIYA JANATA PARTY,*******8244,OC,4313,10000000,691,3627829
5,80,2019-04-12,BHARATIYA JANATA PARTY,*******8244,OC,5805,10000000,691,3627829
6,81,2019-04-12,BHARATIYA JANATA PARTY,*******8244,OC,5829,10000000,691,3627829
7,82,2019-04-12,BHARATIYA JANATA PARTY,*******8244,OC,5821,10000000,691,3627829
