,Sr No.,Reference No (URN),Journal Date,"Date of
Purchase",Date of Expiry,Name of the Purchaser,Prefix,"Bond
Number",Denominations,Issue Branch Code,Issue Teller,Status
0,1,1.2019041200000013e+18,12/Apr/2019,12/Apr/2019,26/Apr/2019,A B C INDIA LIMITED,TL,11448,1000000,1,5899230,Paid
1,2,1.2019041200000013e+18,12/Apr/2019,12/Apr/2019,26/Apr/2019,A B C INDIA LIMITED,TL,11447,1000000,1,5899230,Paid
2,3,1.2019041200000013e+18,12/Apr/2019,12/Apr/2019,26/Apr/2019,A B C INDIA LIMITED,TL,11441,1000000,1,5899230,Paid
3,4,1.2019041200000013e+18,12/Apr/2019,12/Apr/2019,26/Apr/2019,A B C INDIA LIMITED,OL,1113,100000,1,5899230,Paid
4,5,1.2019041200000013e+18,12/Apr/2019,12/Apr/2019,26/Apr/2019,A B C INDIA LIMITED,OL,1118,100000,1,5899230,Paid
5,6,1.2019041200000013e+18,12/Apr/2019,12/Apr/2019,26/Apr/2019,A B C INDIA LIMITED,OL,1112,100000,1,5899230,Paid
6,7,1.2019041200000013e+18,12/Apr/2019,12/Apr/2019,26/Apr/2019,A B C INDIA LIMITED,OL,1115,100000,1,5899230,Paid
7,8,1.2019041200000013e+18,12/Apr/2019,12/Apr/2019,26/Apr/2019,A B C INDIA LIMITED,OL,1119,100000,1,5899230,Paid
8,9,1.2019041200000013e+18,12/Apr/2019,12/Apr/2019,26/Apr/2019,A B C INDIA LIMITED,OL,1110,100000,1,5899230,Paid
9,10,1.2019041200000013e+18,12/Apr/2019,12/Apr/2019,26/Apr/2019,A B C INDIA LIMITED,OL,1111,100000,1,5899230,Paid
10,11,1.2019041200000013e+18,12/Apr/2019,12/Apr/2019,26/Apr/2019,A B C INDIA LIMITED,OL,1106,100000,1,5899230,Paid
11,12,1.2019041200000013e+18,12/Apr/2019,12/Apr/2019,26/Apr/2019,A B C INDIA LIMITED,OL,1114,100000,1,5899230,Paid
12,13,1.2019041200000013e+18,12/Apr/2019,12/Apr/2019,26/Apr/2019,A B C INDIA LIMITED,OL,1117,100000,1,5899230,Paid
13,14,1.2019041200000013e+18,12/Apr/2019,12/Apr/2019,26/Apr/2019,ACROPOLIS MAINTENANCE SERVICES PRIVATE LIMITED,TL,11556,1000000,1,5899230,Paid
14,15,1.2019041200000013e+18,12/Apr/2019,12/Apr/2019,26/Apr/2019,ACROPOLIS MAINTENANCE SERVICES PRIVATE LIMITED,TL,11555,1000000,1,5899230,Paid
15,16,1.2019041200000013e+18,12/Apr/2019,12/Apr/2019,26/Apr/2019,ACROPOLIS MAINTENANCE SERVICES PRIVATE LIMITED,OL,1125,100000,1,5899230,Paid
16,17,1.2019041200000013e+18,12/Apr/2019,12/Apr/2019,26/Apr/2019,ACROPOLIS MAINTENANCE SERVICES PRIVATE LIMITED,OL,1129,100000,1,5899230,Paid
17,18,1.2019041200000013e+18,12/Apr/2019,12/Apr/2019,26/Apr/2019,ACROPOLIS MAINTENANCE SERVICES PRIVATE LIMITED,OL,1124,100000,1,5899230,Paid
18,19,1.2019041200000013e+18,12/Apr/2019,12/Apr/2019,26/Apr/2019,ACROPOLIS MAINTENANCE SERVICES PRIVATE LIMITED,OL,1128,100000,1,5899230,Paid
19,20,1.2019041200000013e+18,12/Apr/2019,12/Apr/2019,26/Apr/2019,ACROPOLIS MAINTENANCE SERVICES PRIVATE LIMITED,OL,1126,100000,1,5899230,Paid
20,21,1.2019041200000013e+18,12/Apr/2019,12/Apr/2019,26/Apr/2019,ARIHANT ENTERPRISES,TL,11551,1000000,1,5899230,Paid
21,22,1.2019041200000013e+18,12/Apr/2019,12/Apr/2019,26/Apr/2019,ARIHANT ENTERPRISES,TL,11554,1000000,1,5899230,Paid
22,23,1.2019041200000013e+18,12/Apr/2019,12/Apr/2019,26/Apr/2019,ARIHANT ENTERPRISES,TL,11553,1000000,1,5899230,Paid
23,24,1.2019041200000013e+18,12/Apr/2019,12/Apr/2019,26/Apr/2019,ARIHANT ENTERPRISES,TL,11552,1000000,1,5899230,Paid
24,25,3.0020190412e+20,12/Apr/2019,12/Apr/2019,26/Apr/2019,CHOUDHARY GARMENTS,TL,12904,1000000,300,4180496,Paid
25,26,3.0020190412e+20,12/Apr/2019,12/Apr/2019,26/Apr/2019,CHOUDHARY GARMENTS,TL,12902,1000000,300,4180496,Paid
26,27,1.2019041200000013e+18,12/Apr/2019,12/Apr/2019,26/Apr/2019,ESSEL MINING AND INDS LTD,OC,6297,10000000,1,5899230,Paid
27,28,1.2019041200000013e+18,12/Apr/2019,12/Apr/2019,26/Apr/2019,ESSEL MINING AND INDS LTD,OC,6275,10000000,1,5899230,Paid
28,29,1.2019041200000013e+18,12/Apr/2019,12/Apr/2019,26/Apr/2019,ESSEL MINING AND INDS LTD,OC,6261,10000000,1,5899230,Paid
29,30,1.2019041200000013e+18,12/Apr/2019,12/Apr/2019,26/Apr/2019,ESSEL MINING AND INDS LTD,OC,6278,10000000,1,5899230,Paid
30,31,1.2019041200000013e+18,12/Apr/2019,12/Apr/2019,26/Apr/2019,ESSEL MINING AND INDS LTD,OC,6262,10000000,1,5899230,Paid
31,32,1.2019041200000013e+18,12/Apr/2019,12/Apr/2019,26/Apr/2019,ESSEL MINING AND INDS LTD,OC,6274,10000000,1,5899230,Paid
32,33,1.2019041200000013e+18,12/Apr/2019,12/Apr/2019,26/Apr/2019,ESSEL MINING AND INDS LTD,OC,6257,10000000,1,5899230,Paid
33,34,1.2019041200000013e+18,12/Apr/2019,12/Apr/2019,26/Apr/2019,ESSEL MINING AND INDS LTD,OC,6273,10000000,1,5899230,Paid
34,35,1.2019041200000013e+18,12/Apr/2019,12/Apr/2019,26/Apr/2019,ESSEL MINING AND INDS LTD,OC,6272,10000000,1,5899230,Paid
35,36,1.2019041200000013e+18,12/Apr/2019,12/Apr/2019,26/Apr/2019,ESSEL MINING AND INDS LTD,OC,6280,10000000,1,5899230,Paid
36,37,1.2019041200000013e+18,12/Apr/2019,12/Apr/2019,26/Apr/2019,ESSEL MINING AND INDS LTD,OC,6251,10000000,1,5899230,Paid
37,38,1.2019041200000013e+18,12/Apr/2019,12/Apr/2019,26/Apr/2019,ESSEL MINING AND INDS LTD,OC,4597,10000000,1,5899230,Paid
38,39,1.2019041200000013e+18,12/Apr/2019,12/Apr/2019,26/Apr/2019,ESSEL MINING AND INDS LTD,OC,6279,10000000,1,5899230,Paid
39,40,1.2019041200000013e+18,12/Apr/2019,12/Apr/2019,26/Apr/2019,ESSEL MINING AND INDS LTD,OC,6296,10000000,1,5899230,Paid
40,41,1.2019041200000013e+18,12/Apr/2019,12/Apr/2019,26/Apr/2019,ESSEL MINING AND INDS LTD,OC,6256,10000000,1,5899230,Paid
41,42,1.2019041200000013e+18,12/Apr/2019,12/Apr/2019,26/Apr/2019,ESSEL MINING AND INDS LTD,OC,6286,10000000,1,5899230,Paid
42,43,1.2019041200000013e+18,12/Apr/2019,12/Apr/2019,26/Apr/2019,ESSEL MINING AND INDS LTD,OC,6298,10000000,1,5899230,Paid
43,44,1.2019041200000013e+18,12/Apr/2019,12/Apr/2019,26/Apr/2019,ESSEL MINING AND INDS LTD,OC,6267,10000000,1,5899230,Paid
44,45,1.2019041200000013e+18,12/Apr/2019,12/Apr/2019,26/Apr/2019,ESSEL MINING AND INDS LTD,OC,4632,10000000,1,5899230,Paid
45,46,1.2019041200000013e+18,12/Apr/2019,12/Apr/2019,26/Apr/2019,ESSEL MINING AND INDS LTD,OC,6284,10000000,1,5899230,Paid
46,47,1.2019041200000013e+18,12/Apr/2019,12/Apr/2019,26/Apr/2019,ESSEL MINING AND INDS LTD,OC,6254,10000000,1,5899230,Paid
47,48,1.2019041200000013e+18,12/Apr/2019,12/Apr/2019,26/Apr/2019,ESSEL MINING AND INDS LTD,OC,6292,10000000,1,5899230,Paid
48,49,1.2019041200000013e+18,12/Apr/2019,12/Apr/2019,26/Apr/2019,ESSEL MINING AND INDS LTD,OC,6268,10000000,1,5899230,Paid
0,50,1.2019041200000013e+18,12/Apr/2019,12/Apr/2019,26/Apr/2019,ESSEL MINING AND INDS LTD,OC,6258,10000000,1,5899230,Paid
1,51,1.2019041200000013e+18,12/Apr/2019,12/Apr/2019,26/Apr/2019,ESSEL MINING AND INDS LTD,OC,6253,10000000,1,5899230,Paid
2,52,1.2019041200000013e+18,12/Apr/2019,12/Apr/2019,26/Apr/2019,ESSEL MINING AND INDS LTD,OC,6293,10000000,1,5899230,Paid
3,53,1.2019041200000013e+18,12/Apr/2019,12/Apr/2019,26/Apr/2019,ESSEL MINING AND INDS LTD,OC,6281,10000000,1,5899230,Paid
4,54,1.2019041200000013e+18,12/Apr/2019,12/Apr/2019,26/Apr/2019,ESSEL MINING AND INDS LTD,OC,6264,10000000,1,5899230,Paid
5,55,1.2019041200000013e+18,12/Apr/2019,12/Apr/2019,26/Apr/2019,ESSEL MINING AND INDS LTD,OC,6288,10000000,1,5899230,Paid
6,56,1.2019041200000013e+18,12/Apr/2019,12/Apr/2019,26/Apr/2019,ESSEL MINING AND INDS LTD,OC,6300,10000000,1,5899230,Paid
7,57,1.2019041200000013e+18,12/Apr/2019,12/Apr/2019,26/Apr/2019,ESSEL MINING AND INDS LTD,OC,6269,10000000,1,5899230,Paid
8,58,1.2019041200000013e+18,12/Apr/2019,12/Apr/2019,26/Apr/2019,ESSEL MINING AND INDS LTD,OC,4598,10000000,1,5899230,Paid
9,59,1.2019041200000013e+18,12/Apr/2019,12/Apr/2019,26/Apr/2019,ESSEL MINING AND INDS LTD,OC,6263,10000000,1,5899230,Paid
10,60,1.2019041200000013e+18,12/Apr/2019,12/Apr/2019,26/Apr/2019,ESSEL MINING AND INDS LTD,OC,6270,10000000,1,5899230,Paid
11,61,1.2019041200000013e+18,12/Apr/2019,12/Apr/2019,26/Apr/2019,ESSEL MINING AND INDS LTD,OC,6283,10000000,1,5899230,Paid
12,62,1.2019041200000013e+18,12/Apr/2019,12/Apr/2019,26/Apr/2019,ESSEL MINING AND INDS LTD,OC,6299,10000000,1,5899230,Paid
13,63,1.2019041200000013e+18,12/Apr/2019,12/Apr/2019,26/Apr/2019,ESSEL MINING AND INDS LTD,OC,6271,10000000,1,5899230,Paid
14,64,1.2019041200000013e+18,12/Apr/2019,12/Apr/2019,26/Apr/2019,ESSEL MINING AND INDS LTD,OC,6252,10000000,1,5899230,Paid
15,65,1.2019041200000013e+18,12/Apr/2019,12/Apr/2019,26/Apr/2019,ESSEL MINING AND INDS LTD,OC,6282,10000000,1,5899230,Paid
16,66,1.2019041200000013e+18,12/Apr/2019,12/Apr/2019,26/Apr/2019,ESSEL MINING AND INDS LTD,OC,6259,10000000,1,5899230,Paid
17,67,1.2019041200000013e+18,12/Apr/2019,12/Apr/2019,26/Apr/2019,ESSEL MINING AND INDS LTD,OC,6295,10000000,1,5899230,Paid
18,68,1.2019041200000013e+18,12/Apr/2019,12/Apr/2019,26/Apr/2019,ESSEL MINING AND INDS LTD,OC,6260,10000000,1,5899230,Paid
19,69,1.2019041200000013e+18,12/Apr/2019,12/Apr/2019,26/Apr/2019,ESSEL MINING AND INDS LTD,OC,6255,10000000,1,5899230,Paid
20,70,1.2019041200000013e+18,12/Apr/2019,12/Apr/2019,26/Apr/2019,ESSEL MINING AND INDS LTD,OC,6265,10000000,1,5899230,Paid
21,71,1.2019041200000013e+18,12/Apr/2019,12/Apr/2019,26/Apr/2019,ESSEL MINING AND INDS LTD,OC,6285,10000000,1,5899230,Paid
22,72,1.2019041200000013e+18,12/Apr/2019,12/Apr/2019,26/Apr/2019,ESSEL MINING AND INDS LTD,OC,6289,10000000,1,5899230,Paid
